iter	Passed	Remaining
402	11943	14729
403	11972	14698
404	12001	14668
405	12030	14638
406	12059	14607
407	12088	14576
408	12116	14546
409	12146	14516
410	12175	14486
411	12204	14455
412	12233	14425
413	12262	14394
414	12290	14363
415	12322	14336
416	12351	14306
417	12382	14278
418	12411	14248
419	12441	14218
420	12489	14210
421	12525	14187
422	12556	14159
423	12586	14130
424	12618	14102
425	12650	14075
426	12679	14045
427	12709	14015
428	12738	13985
429	12768	13956
430	12798	13926
431	12827	13896
432	12856	13866
433	12887	13838
434	12963	13857
435	12992	13827
436	13022	13796
437	13050	13766
438	13079	13734
439	13108	13704
440	13138	13674
441	13168	13645
442	13200	13617
443	13229	13587
444	13258	13556
445	13290	13529
446	13323	13502
447	13353	13472
448	13383	13443
449	13413	13413
450	13441	13381
451	13470	13351
452	13500	13321
453	13530	13292
454	13559	13261
455	13589	13232
456	13618	13201
457	13647	13170
458	13676	13140
459	13704	13108
460	13733	13077
461	13762	13047
462	13790	13016
463	13819	12985
464	13848	12954
465	13878	12925
466	13907	12894
467	13936	12864
468	13965	12833
469	13994	12803
470	14024	12774
471	14053	12743
472	14081	12712
473	14111	12682
474	14141	12652
475	14180	12631
476	14244	12632
477	14274	12602
478	14303	12571
479	14333	12541
480	14365	12513
481	14397	12485
482	14427	12455
483	14456	12424
484	14486	12395
485	14519	12368
486	14548	12338
487	14577	12307
488	14607	12277
489	14636	12247
490	14666	12216
491	14698	12188
492	14729	12160
493	14761	12131
494	14793	12103
495	14825	12075
496	14888	12072
497	14926	12049
498	14957	12019
499	14987	11990
500	15019	11961
501	15049	11931
502	15078	11900
503	15106	11869
504	15135	11838
505	15165	11808
506	15197	11780
507	15227	11750
508	15255	11718
509	15283	11687
510	15313	11657
511	15341	11626
512	15376	11599
513	15410	11572
514	15438	11541
515	15467	11510
516	15497	11480
517	15525	11449
518	15553	11418
519	15582	11386
520	15613	11357
521	15643	11327
522	15671	11296
523	15701	11266
524	15731	11236
525	15759	11205
526	15789	11175
527	15818	11144
528	15850	11116
529	15884	11088
530	15915	11060
531	15945	11029
532	15974	10999
533	16004	10969
534	16034	10939
535	16065	10909
536	16095	10879
537	16123	10848
538	16152	10818
539	16181	10787
540	16209	10756
541	16240	10727
542	16270	10697
543	16301	10667
544	16331	10637
545	16362	10608
546	16391	10577
547	16419	10547
548	16449	10516
549	16477	10485
550	16506	10455
551	16536	10425
552	16564	10394
553	16593	10363
554	16623	10333
555	16652	10303
556	16682	10272
557	16711	10242
558	16740	10211
559	16770	10182
560	16800	10152
561	16829	10121
562	16860	10092
563	16888	10061
564	16917	10031
565	16947	10000
566	17026	9999
567	17057	9970
568	17087	9940
569	17116	9909
570	17144	9878
571	17174	9848
572	17203	9817
573	17233	9787
574	17260	9756
575	17289	9725
576	17320	9695
577	17349	9665
578	17382	9636
579	17410	9605
580	17439	9575
581	17470	9545
582	17499	9515
583	17528	9484
584	17556	9453
585	17585	9423
586	17614	9392
587	17642	9361
588	17671	9330
589	17699	9299
590	17729	9269
591	17761	9240
592	17792	9211
593	17822	9181
594	17852	9151
595	17882	9121
596	17911	9090
597	17942	9061
598	17972	9031
599	18000	9000
600	18029	8969
601	18059	8939
602	18089	8909
603	18119	8879
604	18149	8849
605	18177	8818
606	18206	8788
607	18235	8757
608	18264	8727
609	18293	8697
610	18324	8667
611	18353	8636
612	18382	8606
613	18412	8576
614	18442	8546
615	18472	8516
616	18501	8485
617	18530	8455
618	18558	8424
619	18587	8394
620	18614	8363
621	18644	8332
622	18672	8302
623	18701	8271
624	18729	8241
625	18758	8210
626	18786	8179
627	18815	8149
628	18844	8118
629	18872	8088
630	18901	8057
631	18931	8027
632	18960	7997
633	18988	7966
634	19016	7936
635	19045	7905
636	19076	7876
637	19104	7845
638	19133	7815
639	19163	7785
640	19192	7755
641	19222	7724
642	19250	7694
643	19279	7664
644	19310	7634
645	19341	7604
646	19371	7574
647	19400	7544
648	19429	7514
649	19457	7483
650	19487	7453
651	19516	7423
652	19544	7392
653	19573	7362
654	19602	7332
655	19631	7302
656	19662	7272
657	19692	7242
658	19723	7212
659	19752	7182
660	19782	7152
661	19812	7122
662	19842	7092
663	19870	7062
664	19898	7031
665	19927	7001
666	19954	6970
667	19982	6940
668	20011	6909
669	20040	6879
670	20069	6849
671	20096	6818
672	20126	6788
673	20156	6758
674	20187	6729
675	20218	6699
676	20247	6669
677	20276	6639
678	20307	6609
679	20336	6579
680	20366	6549
681	20396	6519
682	20424	6489
683	20453	6458
684	20482	6428
685	20511	6398
686	20539	6368
687	20567	6337
688	20596	6307
689	20625	6277
690	20653	6246
691	20682	6216
692	20711	6186
693	20740	6156
694	20769	6126
695	20798	6096
696	20827	6065
697	20858	6036
698	20887	6006
699	20916	5976
700	20944	5945
701	20974	5915
702	21003	5885
703	21032	5855
704	21059	5825
705	21089	5795
706	21117	5764
707	21145	5734
708	21174	5704
709	21202	5673
710	21230	5643
711	21259	5613
712	21290	5583
713	21321	5554
714	21349	5524
715	21379	5494
716	21407	5463
717	21436	5433
718	21465	5403
719	21493	5373
720	21521	5343
721	21550	5312
722	21579	5282
723	21608	5252
724	21637	5222
725	21667	5192
726	21697	5163
727	21725	5132
728	21754	5102
729	21782	5072
730	21810	5042
731	21839	5012
732	21868	4982
733	21896	4952
734	21926	4922
735	21955	4892
736	21984	4862
737	22012	4832
738	22042	4802
739	22072	4772
740	22101	4742
741	22129	4712
742	22158	4682
743	22188	4652
744	22217	4622
745	22246	4592
746	22275	4562
747	22305	4532
748	22333	4502
749	22361	4472
750	22390	4442
751	22418	4412
752	22446	4382
753	22474	4351
754	22502	4321
755	22531	4291
756	22560	4261
757	22588	4231
758	22617	4201
759	22647	4171
760	22676	4141
761	22704	4111
762	22732	4081
763	22762	4051
764	22792	4022
765	22820	3992
766	22849	3962
767	22879	3932
768	22907	3902
769	22935	3872
770	22963	3842
771	22992	3812
772	23021	3782
773	23049	3752
774	23078	3722
775	23108	3692
776	23137	3662
777	23166	3632
778	23195	3602
779	23224	3572
780	23252	3543
781	23281	3513
782	23310	3483
783	23338	3453
784	23368	3423
785	23397	3393
786	23425	3363
787	23454	3333
788	23483	3303
789	23513	3273
790	23542	3244
791	23570	3214
792	23599	3184
793	23627	3154
794	23656	3124
795	23684	3094
796	23713	3064
797	23742	3034
798	23770	3004
799	23799	2974
800	23828	2945
801	23857	2915
802	23885	2885
803	23914	2855
804	23942	2825
805	23970	2795
806	24000	2765
807	24027	2735
808	24056	2706
809	24087	2676
810	24117	2646
811	24146	2616
812	24175	2587
813	24204	2557
814	24233	2527
815	24262	2497
816	24292	2467
817	24321	2438
818	24352	2408
819	24380	2378
820	24408	2348
821	24437	2318
822	24465	2288
823	24495	2259
824	24523	2229
825	24553	2199
826	24582	2169
827	24610	2140
828	24638	2110
829	24667	2080
830	24696	2050
831	24725	2020
832	24754	1991
833	24782	1961
834	24811	1931
835	24841	1901
836	24870	1871
837	24898	1842
838	24928	1812
839	24957	1782
840	24985	1752
841	25014	1723
842	25043	1693
