iter	MAE
148	0.3035137087
149	0.3034571001
150	0.3034015004
151	0.3033449575
152	0.3032492464
153	0.303189117
154	0.3031331292
155	0.3029310224
156	0.3026502078
157	0.3025871527
158	0.3025196345
159	0.3024465105
160	0.3023757413
161	0.3023099981
162	0.3022488365
163	0.3021778419
164	0.3019239671
165	0.3016773434
166	0.301627674
167	0.3014410948
168	0.3013570637
169	0.3011706051
170	0.3011236476
171	0.3008950705
172	0.3008495335
173	0.3007941249
174	0.3007115665
175	0.3006582314
176	0.3006154694
177	0.3004460719
178	0.3003434507
179	0.3002558535
180	0.3002097139
181	0.3001691342
182	0.3001192138
183	0.300078995
184	0.2999803921
185	0.2997590439
186	0.2997078702
187	0.2996364756
188	0.2994301886
189	0.2992777828
190	0.2992324149
191	0.2991665518
192	0.2991114106
193	0.2989080148
194	0.298722893
195	0.2986665349
196	0.2986209666
197	0.2985699528
198	0.2985330716
199	0.2984962796
200	0.2984574343
201	0.2984045522
202	0.2982263402
203	0.2980399711
204	0.2980051031
205	0.2979683511
206	0.2977800692
207	0.2977363138
208	0.2975617593
209	0.2975116454
210	0.2974750416
211	0.2973023923
212	0.2972666536
213	0.2972322903
214	0.2971986186
215	0.2971035567
216	0.2969415248
217	0.296907258
218	0.296872373
219	0.29683723
220	0.2966804491
221	0.2966373236
222	0.2964856285
223	0.2964548192
224	0.2964264987
225	0.2963908881
226	0.2963507905
227	0.29620386
228	0.2960679963
229	0.2959302867
230	0.2958849822
231	0.2957484318
232	0.2957032303
233	0.2956692979
234	0.2956396368
235	0.2956100608
236	0.2955720208
237	0.2955403239
238	0.2954956148
239	0.2954674189
240	0.2954319169
241	0.2953098962
242	0.2952733609
243	0.2951503728
244	0.2951176798
245	0.2950771442
246	0.2949549504
247	0.2949256128
248	0.2948967855
249	0.2948524976
250	0.2948275759
251	0.2947191094
252	0.294691084
253	0.294580271
254	0.2945382953
255	0.2944297469
256	0.2943478539
257	0.2943147176
258	0.2942828455
259	0.2942437568
260	0.2942103608
261	0.2941690994
262	0.2941326843
263	0.2941069202
264	0.2940714186
265	0.29404188
266	0.2940108116
267	0.293975703
268	0.2939459785
269	0.2939102336
270	0.2938168333
271	0.2937932804
272	0.2937687808
273	0.2937385784
274	0.2937137178
275	0.2936168181
276	0.2935833073
277	0.2935552731
278	0.2935243919
279	0.2934329003
280	0.2934119099
281	0.2933283967
282	0.293248778
283	0.2931734966
284	0.2931371833
285	0.2931101166
286	0.2930867989
287	0.2930542834
288	0.2930331308
289	0.2930133335
290	0.2929841351
291	0.2929618888
292	0.2929413495
293	0.2929209276
294	0.2928899531
295	0.2928656071
296	0.2928430751
297	0.2928243169
298	0.2927976316
299	0.2927673285
300	0.2927462452
301	0.2927251961
302	0.2927041068
303	0.2926762966
304	0.2926533437
305	0.2926261169
306	0.292599127
307	0.2925271952
308	0.2925044166
309	0.2924860897
310	0.2924698707
311	0.2924443709
312	0.2924258137
313	0.2924022738
314	0.2923823216
315	0.292314464
316	0.2922931039
317	0.2922172936
318	0.2921562123
319	0.2921371016
320	0.2920747323
321	0.2920482924
322	0.2920088195
323	0.291983249
324	0.2919542199
325	0.2919357233
326	0.291910644
327	0.2918858704
328	0.2918670377
329	0.2918428889
330	0.2918189097
331	0.2918006059
332	0.2917839011
333	0.2917677736
334	0.2917523947
335	0.2917323056
336	0.2917162355
337	0.2916959607
338	0.2916697566
339	0.2916466587
340	0.2916212498
341	0.2916013161
342	0.2915446432
343	0.2914977371
344	0.2914772302
345	0.2914634992
346	0.2914458416
347	0.2914300194
348	0.2914164097
349	0.2913925272
350	0.2913551666
351	0.291333967
352	0.2913078904
353	0.2912929552
354	0.2912689749
355	0.2912108517
356	0.291193517
357	0.291175507
358	0.2911587274
359	0.2911425224
360	0.2911216887
361	0.2911045889
362	0.2910807439
363	0.2910674764
364	0.2910253432
365	0.2910063875
366	0.2909622425
367	0.2909443441
368	0.290930944
369	0.2909172374
370	0.2909035678
371	0.290884997
372	0.2908678457
373	0.2908465302
374	0.2908300787
375	0.2908154859
376	0.2908035819
377	0.2907881257
378	0.2907727814
379	0.2907422927
380	0.2907128294
381	0.2906934251
382	0.290679876
383	0.2906578646
384	0.2906452909
385	0.2906324596
386	0.2906162043
387	0.2905999493
388	0.2905536461
389	0.2905414772
390	0.2905264611
391	0.2905116155
392	0.2904962814
393	0.2904763462
394	0.2904603867
395	0.2904486981
396	0.2904362918
397	0.2904132129
398	0.2903875815
399	0.2903664981
400	0.2903488277
401	0.2903194722
402	0.2903073011
403	0.2902946553
404	0.2902738058
405	0.2902598573
406	0.2902470103
407	0.2902302082
408	0.2902156649
409	0.2902017973
410	0.2901873154
411	0.2901729497
412	0.2901498603
413	0.290138386
414	0.2900913065
415	0.2900807752
416	0.2900696515
417	0.2900592101
418	0.2900498529
419	0.2900298989
420	0.2900124934
421	0.2900002478
422	0.289981768
423	0.2899720824
424	0.2899583834
425	0.289947268
426	0.2899338954
427	0.2899089766
428	0.2898988056
429	0.289881282
430	0.289865161
431	0.2898519637
432	0.289841199
433	0.2898245294
434	0.2898143374
435	0.2898008353
436	0.2897909643
437	0.2897800329
438	0.2897683199
439	0.2897581792
440	0.289745421
441	0.2897341083
442	0.2897181361
443	0.2897046351
444	0.2896927188
445	0.2896472669
446	0.2896390803
447	0.2896281401
448	0.2896144165
449	0.2896034957
450	0.2895949642
451	0.2895556043
452	0.2895149633
453	0.2895023242
454	0.2894932821
455	0.2894829422
456	0.2894751264
457	0.2894642342
458	0.2894501987
459	0.2894412057
460	0.2894281125
461	0.2894122829
462	0.289405078
463	0.2893934344
464	0.2893825053
465	0.2893653127
466	0.2893543046
467	0.2893156053
468	0.2892782088
469	0.2892633716
470	0.2892521617
471	0.2892421571
472	0.2892308688
473	0.2892233068
474	0.2892071717
475	0.2891964066
476	0.2891689383
477	0.2891602677
478	0.2891431599
479	0.2891323666
480	0.2891163545
481	0.2891060175
482	0.2890957388
483	0.2890731444
484	0.2890605751
485	0.2890496769
486	0.2890177775
487	0.2890072569
488	0.2889947595
489	0.2889765965
490	0.2889569027
491	0.2889440288
492	0.2889325016
493	0.2889247518
494	0.28891135
495	0.2889013511
496	0.2888917026
497	0.2888831914
498	0.2888751435
499	0.2888682526
500	0.2888606607
501	0.2888475995
502	0.2888352566
503	0.2888257573
504	0.2888153277
505	0.2888072133
506	0.2888006157
507	0.2887898679
508	0.2887811346
509	0.2887731576
510	0.2887621898
511	0.2887504341
512	0.288733728
513	0.2887240286
514	0.2887176105
515	0.2887075055
516	0.2887000575
517	0.2886898895
518	0.2886826766
519	0.2886757898
520	0.2886593909
521	0.2886520752
522	0.2886450374
523	0.288627706
524	0.2886186495
525	0.2886083584
526	0.2885777547
527	0.2885664588
528	0.2885593792
529	0.2885488264
530	0.2885397918
531	0.2885259379
532	0.2885191498
533	0.2884977642
534	0.2884646775
535	0.2884532671
536	0.2884442071
537	0.2884368796
538	0.2884118762
539	0.2883849027
540	0.2883780324
541	0.2883709936
542	0.2883563674
543	0.2883498363
544	0.2883123882
545	0.2882994967
546	0.2882821415
547	0.2882654473
548	0.2882523963
549	0.288245552
550	0.2882239072
551	0.2882144528
552	0.2881855234
553	0.2881772674
554	0.2881659715
555	0.2881584225
556	0.2881449378
557	0.2881378292
558	0.288131193
559	0.28812453
560	0.2881190481
561	0.2881096936
562	0.2881030479
563	0.288093643
564	0.2880753631
565	0.2880632921
566	0.2880551719
567	0.288032205
568	0.2880202345
569	0.2880052969
570	0.2879994591
571	0.2879929752
572	0.2879844664
573	0.2879775766
574	0.2879703939
575	0.2879644206
576	0.2879566331
577	0.2879468608
578	0.2879339858
579	0.2879258653
580	0.2879201428
581	0.2879135613
582	0.2879072822
583	0.2878973724
584	0.2878875097
585	0.2878810817
586	0.2878740249
587	0.2878686862
588	0.2878426447
589	0.2878286934
590	0.2878058648
591	0.2877949658
592	0.2877859836
593	0.2877814921
594	0.2877751227
595	0.2877690218
596	0.2877447872
597	0.2877379669
598	0.2877291921
599	0.2877083513
600	0.2877022072
601	0.2876949741
602	0.2876897727
603	0.2876836486
604	0.28767807
605	0.2876710079
606	0.2876598828
607	0.2876527249
608	0.2876387438
609	0.2876336457
610	0.2876260193
611	0.2876157162
612	0.2876061555
613	0.2875992124
614	0.2875888368
615	0.2875797416
616	0.2875692861
617	0.2875614896
618	0.2875499152
619	0.2875425213
620	0.2875373741
621	0.2875284693
622	0.2875209925
623	0.2875162246
624	0.2875103226
625	0.287504124
626	0.287497949
627	0.2874883217
628	0.2874828357
629	0.2874766687
630	0.2874699942
631	0.2874633783
632	0.2874559691
633	0.2874513616
634	0.2874429554
635	0.2874370695
636	0.2874286587
637	0.2874221567
638	0.2874168025
639	0.2874084945
640	0.2873862645
641	0.2873819423
642	0.2873748991
643	0.2873675083
644	0.2873591301
645	0.2873483122
646	0.2873217397
647	0.2873036331
648	0.287278494
649	0.2872725432
650	0.2872647139
651	0.2872583281
652	0.2872525782
653	0.2872456927
654	0.2872388293
655	0.2872270222
656	0.2872205449
657	0.2872056626
658	0.2871985694
659	0.2871933874
660	0.2871866274
661	0.2871681133
662	0.2871623122
663	0.2871580949
664	0.2871520731
665	0.2871367442
666	0.2871299587
667	0.2871261004
668	0.2871212966
669	0.2871166924
670	0.2871082741
671	0.2871033291
672	0.2870960708
673	0.2870917304
674	0.2870868536
675	0.287081084
676	0.2870725014
677	0.2870656555
678	0.2870598867
679	0.2870549447
680	0.2870491005
681	0.287042334
682	0.2870384074
683	0.2870158137
684	0.2870093373
685	0.2870028521
686	0.2869989378
687	0.286993001
688	0.2869884266
689	0.2869830501
690	0.2869789788
691	0.2869705077
692	0.2869660949
693	0.2869496632
694	0.2869319936
695	0.286926554
696	0.2869227403
697	0.286917812
698	0.2869124833
699	0.286907292
700	0.2869023154
701	0.286895805
702	0.2868894547
703	0.2868843823
704	0.2868808019
705	0.2868755517
706	0.2868713126
707	0.2868653815
708	0.2868592054
709	0.2868417362
710	0.2868214842
711	0.2868131059
712	0.2868091877
713	0.2868038682
714	0.2867902409
715	0.2867847262
716	0.2867632269
717	0.2867579177
718	0.2867424457
719	0.2867365269
720	0.2867325319
721	0.2867284989
722	0.2867220065
723	0.286715208
724	0.2867097285
725	0.2867036919
726	0.2866989884
727	0.2866931643
728	0.2866877298
729	0.2866837459
730	0.2866659208
731	0.2866489504
732	0.2866427657
733	0.2866261123
734	0.2866210413
735	0.2866173703
736	0.2866112133
737	0.2865978162
738	0.2865920628
739	0.286585626
740	0.2865811812
741	0.2865763741
742	0.2865713492
743	0.286567238
744	0.2865608854
745	0.2865514378
746	0.2865481891
747	0.2865434788
748	0.286537748
749	0.2865346216
750	0.2865309269
751	0.2865273472
752	0.286522259
753	0.2865044859
754	0.2864898513
755	0.2864853544
756	0.2864818665
757	0.2864763357
758	0.2864728807
759	0.2864665602
760	0.2864616248
761	0.2864565042
762	0.2864522685
763	0.2864462198
764	0.2864389407
765	0.2864356595
766	0.286430318
767	0.2864250804
768	0.2864103297
769	0.2864072275
770	0.2864008612
771	0.2863958716
772	0.2863870591
773	0.2863819105
774	0.2863761768
775	0.2863714709
776	0.2863654279
777	0.2863585933
778	0.2863547903
779	0.2863466274
780	0.2863381118
781	0.2863338203
782	0.2863255014
783	0.2863204241
784	0.2863142554
785	0.286310287
786	0.286305382
787	0.2862948881
788	0.2862895161
789	0.2862837817
790	0.2862803183
791	0.2862754482
792	0.2862729684
793	0.2862684075
794	0.286253884
795	0.286250674
796	0.286246504
797	0.2862436695
798	0.2862403153
799	0.2862371282
800	0.2862236879
801	0.286220317
802	0.2862149096
803	0.2862102954
804	0.2862077254
805	0.2862036442
806	0.2862004571
807	0.2861961542
808	0.2861921546
809	0.2861879675
810	0.2861844901
811	0.286181827
812	0.2861730927
813	0.2861597443
814	0.2861555772
815	0.2861512409
816	0.2861473935
817	0.2861428453
818	0.2861367916
819	0.2861246814
820	0.2861216806
821	0.2861169615
822	0.2861119179
823	0.2861072669
824	0.286102761
825	0.286094186
826	0.286088923
827	0.2860850599
828	0.2860798298
829	0.2860719834
830	0.2860681279
831	0.2860647554
832	0.2860617956
833	0.2860570953
834	0.286051261
835	0.2860460283
836	0.286041557
837	0.2860377542
838	0.2860332231
839	0.2860277209
840	0.2860166784
841	0.2860091485
842	0.2860054783
843	0.2860015041
844	0.2859972667
845	0.2859887921
846	0.2859843455
847	0.2859811137
848	0.2859784075
849	0.2859743235
850	0.2859697677
851	0.285965677
852	0.2859627801
853	0.2859590867
854	0.2859552404
855	0.285950843
856	0.2859458393
857	0.2859411674
858	0.2859354915
859	0.2859311308
860	0.2859273432
861	0.2859229821
862	0.2859202872
863	0.2859152276
864	0.2859127269
865	0.2859099837
866	0.2859057792
867	0.2859035162
868	0.2858994943
869	0.2858964439
870	0.2858927906
871	0.2858892964
872	0.2858863004
873	0.2858759423
874	0.2858692708
875	0.2858673508
876	0.2858598549
877	0.285857014
878	0.2858526316
879	0.2858482148
880	0.2858409531
881	0.2858372943
882	0.2858325099
883	0.2858286993
884	0.2858221634
885	0.2858184709
886	0.2858139285
887	0.2858104548
888	0.2858046896
889	0.2858004904
890	0.2857969983
891	0.2857872996
892	0.2857832782
893	0.2857798172
894	0.2857725156
895	0.2857651726
896	0.2857627411
897	0.2857606837
898	0.2857551685
899	0.2857460789
